"area","autonomous_region","description","has_doorman","has_garden","has_lift","has_parking","has_storage","has_swimming_pool","is_residential","latitude","longitude","neighbors_per_floor","number","postal_code","province","reference","street","structures","total_floors","town","typology","year_built"
10,Extremadura,Esc.2 5º 02,,,true,true,true,,false,38.97085,-5.8074427,0,"2-A",6700,badajoz,"6874602TJ5167S0046PJ",Paseo Extremadura,"[{""area"": 9, ""floor"": ""05"", ""door"": ""02"", ""typology"": ""AAL""}, {""area"": 1, ""floor"": """", ""door"": """", ""typology"": ""COMMON""}]",3,villanueva-de-la-serena-badajoz,A,1999
6,Extremadura,Esc.2 5º 03,,,true,true,true,,false,38.97085,-5.8074427,0,"2-A",6700,badajoz,"6874602TJ5167S0047AK",Paseo Extremadura,"[{""area"": 6, ""floor"": ""05"", ""door"": ""03"", ""typology"": ""AAL""}]",3,villanueva-de-la-serena-badajoz,A,1999
8,Extremadura,Esc.2 5º 04,,,true,true,true,,false,38.97085,-5.8074427,0,"2-A",6700,badajoz,"6874602TJ5167S0048SL",Paseo Extremadura,"[{""area"": 7, ""floor"": ""05"", ""door"": ""04"", ""typology"": ""AAL""}, {""area"": 1, ""floor"": """", ""door"": """", ""typology"": ""COMMON""}]",3,villanueva-de-la-serena-badajoz,A,1999
8,Extremadura,Esc.2 5º 05,,,true,true,true,,false,38.97085,-5.8074427,0,"2-A",6700,badajoz,"6874602TJ5167S0049DB",Paseo Extremadura,"[{""area"": 7, ""floor"": ""05"", ""door"": ""05"", ""typology"": ""AAL""}, {""area"": 1, ""floor"": """", ""door"": """", ""typology"": ""COMMON""}]",3,villanueva-de-la-serena-badajoz,A,1999
6,Extremadura,Esc.2 5º 06,,,true,true,true,,false,38.97085,-5.8074427,0,"2-A",6700,badajoz,"6874602TJ5167S0050AK",Paseo Extremadura,"[{""area"": 6, ""floor"": ""05"", ""door"": ""06"", ""typology"": ""AAL""}]",3,villanueva-de-la-serena-badajoz,A,1999
6,Extremadura,Esc.2 5º 07,,,true,true,true,,false,38.97085,-5.8074427,0,"2-A",6700,badajoz,"6874602TJ5167S0051SL",Paseo Extremadura,"[{""area"": 6, ""floor"": ""05"", ""door"": ""07"", ""typology"": ""AAL""}]",3,villanueva-de-la-serena-badajoz,A,1999
8,Extremadura,Esc.2 5º 08,,,true,true,true,,false,38.97085,-5.8074427,0,"2-A",6700,badajoz,"6874602TJ5167S0052DB",Paseo Extremadura,"[{""area"": 7, ""floor"": ""05"", ""door"": ""08"", ""typology"": ""AAL""}, {""area"": 1, ""floor"": """", ""door"": """", ""typology"": ""COMMON""}]",3,villanueva-de-la-serena-badajoz,A,1999
5,Extremadura,Esc.2 5º 09,,,true,true,true,,false,38.97085,-5.8074427,0,"2-A",6700,badajoz,"6874602TJ5167S0053FZ",Paseo Extremadura,"[{""area"": 5, ""floor"": ""05"", ""door"": ""09"", ""typology"": ""AAL""}]",3,villanueva-de-la-serena-badajoz,A,1999
5,Extremadura,Esc.2 5º 10,,,true,true,true,,false,38.97085,-5.8074427,0,"2-A",6700,badajoz,"6874602TJ5167S0054GX",Paseo Extremadura,"[{""area"": 5, ""floor"": ""05"", ""door"": ""10"", ""typology"": ""AAL""}]",3,villanueva-de-la-serena-badajoz,A,1999
6,Extremadura,Esc.2 5º 11,,,true,true,true,,false,38.97085,-5.8074427,0,"2-A",6700,badajoz,"6874602TJ5167S0055HM",Paseo Extremadura,"[{""area"": 6, ""floor"": ""05"", ""door"": ""11"", ""typology"": ""AAL""}]",3,villanueva-de-la-serena-badajoz,A,1999
